CCDD,DEPARTAMENTO,CCPP,PROVINCIA,CCDI,DISTRITO,CIUDAD,CONGLOMERADO,NSELV,VIVIENDA,THOGAR,NHOGAR,ESTRATO,VRESFIN,RESFIN,P15,P15_N,P200_N,INF_600,P601,P602,P603,P604,P605_1,P605_2,P605_3,P605_4,P605_5,P605_6,P605_7,P605_8,P605_9,P605_10,P605_11,P605_12,P606,P607,P608,P609_COD,P611_COD,P612,P613,P614,P614_T,P615_1,P615_2,P615_3,P615_4,P615_5,P615_6,P615_7,P615_8,P615_9,P615_10,P615_11,P615_12,P615_13,P615_14,P615_T,P616,P616A,P617,P618,P619,P620,P621,P622_1,P622_2,P623_1,P623_2,P623_3,P624_1,P624_2,P624_3,P624_4,P625,P625A_COD_DEPA,P625_COD_PROV,P625_COD_DIST,P626,P627,P628,P629,P630,P631,P632_1,P632_2,P632_3,P632_4,P632_5,P632_6,P632_7,P632_8,P632_9,P632_10,P632_I,P633,P634_1,P634_2,P634_3,P634_4,P634_5,P634_6,P634_7,P635,P636,P637_COD,P638_1,P638_1_1,P638_1_2,P638_2,P638_2_1,P638_2_2,P638_3,P638_3_1,P638_3_2,P638_4,P638_4_1,P638_4_2,P639_1,P639_1_1,P639_1_2,P639_1_3,P639_2,P639_2_1,P639_2_2,P639_2_3,POB_MIGRANTE,SEXO,EDAD_SIMPLE,EDAD_QUINQUENAL,OCUP600,PETA1,CONDACTIV,PEA,div,RAMA02A,rama01,rrama,secc,nrama1,nrama2,nrama3,nrama12,GOCUP_PERU,GOCUP_VENEZUELA,GEDAD1,GEDAD2,P625_D,P625_P,M622_1,M622_2,INGTOT,INGTOT_MONETARIO,INGTOT_NO_MONETARIO,factorfinal
02,ANCASH,18,SANTA,01,CHIMBOTE,Chimbote,1206802,09340,3,1,1,5,1,1,1,3,1,1,2, ,1, , , , , , , , , , , , , ,2, , ,5120,5610,3,1,4,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,91,2, ,2,6,3,800,150, , , , , ,0,1,1, , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,3,1,2221,2, , ,2, , ,2, , ,2, , ,1,1,6,2,2, , , ,1,1,4,8,1,1,1,1,56,40,5,4,9,8,6,5,8,5, ,2,2,1,1,1600,300,1900,1600,300,13.1758204062503
02,ANCASH,18,SANTA,01,CHIMBOTE,Chimbote,1206802,09340,3,1,1,5,1,1,1,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,1, , , , , , , , , , , , , , , ,0,0, , , , , , , ,13.1758204062503
02,ANCASH,18,SANTA,01,CHIMBOTE,Chimbote,1206802,09340,3,1,1,5,1,1,1,3,5,5,1,1, , , , , , , , , , , , , , , , , ,8322,4922,2, ,1,1,10,10,10,10,10,10,10,0,0,0,0,0,0,0,70,1, ,2, ,2, , , , ,1200,0,0, , ,0,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,8332,2, , ,2, , ,2, , ,2, , ,2, , , ,2, , , ,1,1,5,13,1,1,1,1,49,35,6,4,8,7,5,5,6,8,8,3,3,1,1, , ,1200,1200,0,13.1758204062503
02,ANCASH,18,SANTA,01,CHIMBOTE,Chimbote,1207001,09345,6,1,1,4,1,1,1,3,1,1,1,1, , , , , , , , , , , , , , , , , ,9412,5610,3,2,1,4,8,8,0,8,8,8,8,0,0,0,0,0,0,0,48,1, ,2, ,2,1,3,400,150, , , , , ,0,1,1, , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,1,0,3,2, ,2, , ,2, , ,2, , ,2, , ,2, , , ,2, , , ,1,2,3,7,1,1,1,1,56,40,5,4,9,8,6,5,8,9, ,2,2,1,1,800,300,1100,800,300,26.3516408125007
02,ANCASH,18,SANTA,01,CHIMBOTE,Chimbote,1207001,09345,6,1,1,4,1,1,1,3,2,1,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,4,2, , , , , , , , , , , , , , , , , , , , , ,3,2, , , , , , , , , , , , , , , , , , , , , ,1,2,2,3, , , , , , , , , , , , , , , ,0,0, , , , , , , ,26.3516408125007
02,ANCASH,18,SANTA,01,CHIMBOTE,Chimbote,1207001,09345,6,1,1,4,1,1,1,3,3,1,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,4,2, , , , , , , , , , , , , , , , , , , , , ,3,2, , , , , , , , , , , , , , , , , , , , , ,1,1,1,3, , , , , , , , , , , , , , , ,0,0, , , , , , , ,26.3516408125007
02,ANCASH,18,SANTA,01,CHIMBOTE,Chimbote,12076,09352,21,1,1,5,1,1,1,1,4,4,1,1, , , , , , , , , , , , , , , , , ,5212,4773,3,1,1,4,0,12,12,12,12,12,12,0,0,0,0,0,0,0,72,1, ,2, ,2,1,2,380,72, , , , , ,0,1,1, , , , , , , , , , , , , , , , , , , , , ,0,0,0,1,1,1,0,1,1,2421,2, , ,2, , ,2, , ,2, , ,1,2,2,1,2, , , ,1,1,2,5,1,1,1,1,47,34,4,3,7,6,4,4,5,5, ,1,1,1,1,1645.4,311.76,1957.16,1645.4,311.76,17.5677605416671
02,ANCASH,18,SANTA,01,CHIMBOTE,Chimbote,12077,09350,9,1,1,4,1,1,1,2,1,1,1,1, , , , , , , , , , , , , , , , , ,9321,1020,3,1,4,300,10,10,10,10,10,10,10,0,0,0,0,0,0,0,70,1, ,2, ,2,1,2,350,0, , , , , ,0,1,1, , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,3,1,5131,2, , ,2, , ,2, , ,2, , ,2, , , ,2, , , ,1,1,3,6,1,1,1,1,10,6,2,1,3,4,2,2,3,9,5,2,2,1,1,1515.5,0,1515.5,1515.5,0,17.5677605416671
02,ANCASH,18,SANTA,01,CHIMBOTE,Chimbote,12077,09350,9,1,1,4,1,1,1,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , ,17.5677605416671
02,ANCASH,18,SANTA,01,CHIMBOTE,Chimbote,12078,09349,8,1,1,3,1,1,1,3,1,1,1,1, , , , , , , , , , , , , , , , , ,9412,5610,3,2,1,2,0,12,12,12,12,12,12,0,0,0,0,0,0,0,72,1, ,2, ,2,1,1,40,7, , , , , ,0,1,1, , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,1,0,3,1,7431,2, , ,2, , ,2, , ,2, , ,1,1,4,2,2, , , ,1,2,4,10,1,1,1,1,56,40,5,4,9,8,6,5,8,9,7,3,3,1,1,1200,210,1410,1200,210,17.5677605416671
